Sl_no,Project_partner,State,Location,CT_no,Latitude,Longitude,Altitude,Grid_no,CT_loc_ID,PA_name,Range,Beat,Nearest_village,Date_of_Deployment,Habitat_type
23,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,P5,23.661433,91.305522,23,23,SEPCT8,Sepahijala,Sepahijala,Sepahijala,Sepahijala,13-02-2024,-
24,Policy Advocacy and Reasearch Centre (PARC),Tripura,Rajnagar,THT17,23.290983,91.371228,60,24,TRSHCT01,Trishna WLS,Rangamura,Rajnagar,Kashari,21-02-2024,-
25,Policy Advocacy and Reasearch Centre (PARC),Tripura,Rajnagar,THT24,23.290983,91.371228,60,25,TRSHCT01,Trishna WLS,Rangamura,Rajnagar,Kashari,21-02-2024,-
26,Policy Advocacy and Reasearch Centre (PARC),Tripura,Rajnagar,THT28,23.269589,91.373814,44,26,TRSHCT02,Trishna WLS,Rangamura,Rajnagar,Durgapur,21-02-2024,-
27,Policy Advocacy and Reasearch Centre (PARC),Tripura,Rajnagar,THT23,23.269589,91.373814,44,27,TRSHCT02,Trishna WLS,Rangamura,Rajnagar,Durgapur,21-02-2024,-
28,Policy Advocacy and Reasearch Centre (PARC),Tripura,Rajnagar,THT26,23.2459,91.366464,52,28,TRSHCT03,Trishna WLS,Rangamura,Rajnagar,Prakashnagar,22-02-2024,-
29,Policy Advocacy and Reasearch Centre (PARC),Tripura,Rajnagar,THT15,23.2459,91.366464,52,29,TRSHCT03,Trishna WLS,Rangamura,Rajnagar,Prakashnagar,22-02-2024,-
30,Policy Advocacy and Reasearch Centre (PARC),Tripura,Nidaya,P22,23.314306,91.364417,61,30,TRSHCT04,Trishna WLS,Rangamura,Nidaya,Kurulla,25-02-2024,-
31,Policy Advocacy and Reasearch Centre (PARC),Tripura,Nidaya,P8,23.314306,91.364417,61,31,TRSHCT04,Trishna WLS,Rangamura,Nidaya,Kurulla,25-02-2024,-
32,Policy Advocacy and Reasearch Centre (PARC),Tripura,Nidaya,P18,23.312472,91.352194,51,32,TRSHCT05,Trishna WLS,Rangamura,Nidaya,Mundabasti,21-02-2024,-
33,Policy Advocacy and Reasearch Centre (PARC),Tripura,Nidaya,P20,23.312472,91.352194,51,33,TRSHCT05,Trishna WLS,Rangamura,Nidaya,Mundabasti,21-02-2024,-
34,Policy Advocacy and Reasearch Centre (PARC),Tripura,-,THT18,23.279633,91.355783,38,34,TRSHCT06,Trishna WLS,-,-,Sabmara,21-02-2024,-
35,Policy Advocacy and Reasearch Centre (PARC),Tripura,-,THT29,23.279633,91.355783,38,35,TRSHCT06,Trishna WLS,-,-,Sabmara,21-02-2024,-
36,Policy Advocacy and Reasearch Centre (PARC),Tripura,-,THT22,23.295617,91.356233,59,36,TRSHCT07,Trishna WLS,-,-,Manortila,22-02-2024,-
37,Policy Advocacy and Reasearch Centre (PARC),Tripura,-,THT27,23.295617,91.356233,59,37,TRSHCT07,Trishna WLS,-,-,Manortila,22-02-2024,-
38,Policy Advocacy and Reasearch Centre (PARC),Tripura,-,THT25,23.294167,91.365533,48,38,TRSHCT08,Trishna WLS,-,-,Manortila,22-02-2024,-
39,Policy Advocacy and Reasearch Centre (PARC),Tripura,-,THT14,23.294167,91.365533,48,39,TRSHCT08,Trishna WLS,-,-,Manortila,22-02-2024,-
40,Policy Advocacy and Reasearch Centre (PARC),Tripura,-,THT13,23.30345,91.3652,58,40,TRSHCT09,Trishna WLS,-,-,Manortila,22-02-2024,-
